country,year,region,is_resource_rich,is_high_institution,is_thailand_peer,gdp_growth,manufacturing_share,services_share,agriculture_share,structural_change_velocity,human_capital_index,institutional_quality,infrastructure_index,investment_rate,trade_openness,government_expenditure,employment_manufacturing_share,employment_services_share,iv_trade_policy,iv_geography,gdp_per_capita_lag,regime,regime_label
Mongolia,1980,East Asia,1,0,0,2.5907895431054775,17.780931643126557,55.51746774603522,26.701600610838213,3.122986444883719,0.6255129742643499,-1.1961441127597405,41.82499527103235,14.978128751323954,42.79902815194809,26.51118807088822,5.377634181895494,60.59980366667486,0.33802348110170816,-1.2070216478572156,49962.34380347538,0,Low-Growth
Mongolia,1981,East Asia,1,0,0,7.472722248106411,25.773195915232325,58.647774508376756,15.579029576390923,0.6771057525718285,0.2673111635195402,-0.5400500295144572,30.81370974539584,28.80657118738084,76.53427412182833,21.192037192931657,22.4827890094719,68.27646165964698,-0.0003136726117747121,-1.1818741254208012,50749.736956416156,1,High-Growth
Mongolia,1982,East Asia,1,0,0,8.392978384064005,32.10829786644811,49.99735245721743,17.894349676334457,0.10780969801147831,0.2686544629434029,0.5462294274765649,82.20061083025888,21.569051672191257,27.398292756599993,8.70623684967915,27.34327222264627,53.27625890199365,0.4751677464953816,-0.002403840918853844,50255.36417410534,1,High-Growth
Mongolia,1983,East Asia,1,0,0,3.221717907692099,42.31017297108468,26.451242559711204,31.238584469204113,3.1796779563613677,0.5101106831341002,0.879513574174952,28.468083772723276,9.073406756676489,46.27576725581758,21.016706561371166,49.04900580417172,26.607617996083302,-0.24268127681203333,-1.0263692076658921,51190.00028635957,0,Low-Growth
Mongolia,1984,East Asia,1,0,0,4.730939267781695,32.724922803147926,64.0869848714142,3.1880923254378644,1.3578625801185567,0.4114506765836313,-1.4232756461913518,44.6863818398088,23.426533539001902,51.928912405442915,14.437131551587768,25.095883219234135,58.43365112150055,-2.128734094414812,0.4581681147886987,50110.1393876416,1,High-Growth
Mongolia,1985,East Asia,1,0,0,-0.7143475286804282,20.648860017056876,28.73462996265253,50.61651002029059,1.418041915260981,0.7329888706289852,-1.4310556110742447,53.66625159402047,23.20385109205063,53.27662965539622,17.535339235644038,11.582797292881127,32.114946896750546,1.8071966436378852,-1.6826586941226858,50112.98570455681,0,Low-Growth
Mongolia,1986,East Asia,1,0,0,2.5536674516921978,39.04772442764692,36.26073357112064,24.691542001232442,4.330112135613205,0.6265822891515394,-0.5449111632413421,67.60479394979599,28.84720339485847,35.90131279854392,13.102696532748212,31.848441299871748,37.3211939058595,0.13906039865341766,-1.5769964821909972,50248.58777802458,0,Low-Growth
Mongolia,1987,East Asia,1,0,0,4.401569434525309,50.78033741431847,28.368144691212024,20.85151789446951,1.0111784836717492,0.6793669662492434,1.925739694507355,47.33403865224058,23.931435621761597,64.24400892996617,19.172890389319743,39.620391397311145,27.386502161762547,-2.5322460852196853,0.6820694900626313,50738.088951830985,1,High-Growth
Mongolia,1988,East Asia,1,0,0,7.214106051633674,29.600527849675583,40.16308813121963,30.236384019104783,3.983106604409468,0.3391908042725215,-1.4601383395238465,52.394618648537254,26.725875857036392,55.19506268383284,10.244247917086424,20.529928205026827,32.48779487389932,-0.07722104522304557,0.4258436586298291,50909.10287794399,1,High-Growth
Mongolia,1989,East Asia,1,0,0,1.8558820962202789,37.020550767972985,61.61438457112688,2.0,0.8883966545813438,0.6371984436603644,-0.2401456262598477,75.99338634304122,24.17800508814223,47.5521188389274,31.63460832268129,36.19896939837346,60.755582524209856,-1.276304416538336,-1.2883076174635377,50871.357741070926,0,Low-Growth
